time,x,y,heading (rad),speed
17.15,-0.249974,28.4009,1.5708,1.14
17.2,-0.249974,28.4569,1.5708,1.12
17.25,-0.249974,28.5119,1.5708,1.1
17.3,-0.249974,28.5659,1.5708,1.08
17.35,-0.249974,28.6189,1.5708,1.06
17.4,-0.249974,28.6709,1.5708,1.04
17.45,-0.249974,28.7219,1.5708,1.02
17.5,-0.249974,28.7719,1.5708,1
17.55,-0.249974,28.8209,1.5708,0.98
17.6,-0.249974,28.8689,1.5708,0.96
17.65,-0.249974,28.9159,1.5708,0.94
17.7,-0.249974,28.9619,1.5708,0.92
17.75,-0.249974,29.0069,1.5708,0.9
17.8,-0.249974,29.0509,1.5708,0.88
17.85,-0.249974,29.0939,1.5708,0.86
17.9,-0.249974,29.1359,1.5708,0.84
17.95,-0.249974,29.1769,1.5708,0.82
18,-0.249974,29.2169,1.5708,0.8
18.05,-0.249974,29.2559,1.5708,0.78
18.1,-0.249974,29.2939,1.5708,0.76
18.15,-0.249974,29.3309,1.5708,0.74
18.2,-0.249974,29.3669,1.5708,0.72
18.25,-0.249974,29.4019,1.5708,0.7
18.3,-0.249974,29.4359,1.5708,0.68
18.35,-0.249974,29.4689,1.5708,0.66
18.4,-0.249974,29.5009,1.5708,0.64
18.45,-0.249974,29.5319,1.5708,0.62
18.5,-0.249974,29.5619,1.5708,0.6
18.55,-0.249974,29.5909,1.5708,0.58
18.6,-0.249974,29.6189,1.5708,0.56
18.65,-0.249974,29.6459,1.5708,0.54
18.7,-0.249974,29.6719,1.5708,0.52
18.75,-0.249974,29.6969,1.5708,0.5
18.8,-0.249974,29.7209,1.5708,0.48
18.85,-0.249974,29.7439,1.5708,0.46
18.9,-0.249974,29.7659,1.5708,0.44
18.95,-0.249974,29.7869,1.5708,0.42
19,-0.249974,29.8069,1.5708,0.4
19.05,-0.249974,29.8259,1.5708,0.38
19.1,-0.249974,29.8439,1.5708,0.36
19.15,-0.249974,29.8609,1.5708,0.34
19.2,-0.249974,29.8769,1.5708,0.32
19.25,-0.249974,29.8919,1.5708,0.3
19.3,-0.249974,29.9059,1.5708,0.28
19.35,-0.249974,29.9189,1.5708,0.26
19.4,-0.249974,29.9309,1.5708,0.24
19.45,-0.249974,29.9419,1.5708,0.22
19.5,-0.249974,29.9519,1.5708,0.2
19.55,-0.249974,29.9609,1.5708,0.18
19.6,-0.249974,29.9689,1.5708,0.16
19.65,-0.249974,29.9759,1.5708,0.14
19.7,-0.249974,29.9819,1.5708,0.12
19.75,-0.249974,29.9869,1.5708,0.1
19.8,-0.249974,29.9909,1.5708,0.08
19.85,-0.249974,29.9939,1.5708,0.06
19.9,-0.249974,29.9959,1.5708,0.04
19.95,-0.249974,29.9969,1.5708,0.02
